"date","tests","confirmed"
2020-02-05,31,10
2020-02-06,102,20
2020-02-07,273,61
2020-02-08,279,64
2020-02-09,336,70
2020-02-10,439,135
2020-02-12,492,174
2020-02-13,713,218
2020-02-15,930,285
2020-02-16,1219,355
2020-02-17,1723,454
2020-02-18,2404,542
2020-02-19,3011,621
2020-02-20,3063,634
2020-02-26,4061,705
