"iso_alpha_3","administrative_area_level","data_type","url","title","year","bibtype","author","institution","textVersion"
"CHE",2,"deaths","https://github.com/openZH/covid_19","Open Government Data, Switzerland","2020",,,,
"CHE",2,"confirmed","https://github.com/openZH/covid_19","Open Government Data, Switzerland","2020",,,,
"CHE",2,"tests","https://github.com/openZH/covid_19","Open Government Data, Switzerland","2020",,,,
"CHE",2,"recovered","https://github.com/openZH/covid_19","Open Government Data, Switzerland","2020",,,,
"CHE",2,"hosp","https://github.com/openZH/covid_19","Open Government Data, Switzerland","2020",,,,
"CHE",2,"icu","https://github.com/openZH/covid_19","Open Government Data, Switzerland","2020",,,,
"CHE",2,"vent","https://github.com/openZH/covid_19","Open Government Data, Switzerland","2020",,,,
"CHE",2,"latitude","https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office","2018",,,,
"CHE",2,"longitude","https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office","2018",,,,
"CHE",2,"population","https://www.bfs.admin.ch/bfs/en/home/statistics/regional-statistics/regional-portraits-key-figures/cantons/data-explanations.html","Swiss Federal Statistical Office","2018",,,,
"COK",1,"population","https://www.cia.gov/library/publications/the-world-factbook/geos/cw.html","CIA - Central Intelligence Agency","2020",,,,
"CZE",1,"confirmed","https://onemocneni-aktualne.mzcr.cz/","Ministery of Health of Czech Republic","2020",,,,
"CZE",1,"tests","https://onemocneni-aktualne.mzcr.cz/","Ministery of Health of Czech Republic","2020",,,,
"CZE",2,"population","https://www.czso.cz/csu/czso/demograficka-rocenka-kraju-2009-az-2018","Czech Statistical Office","2018",,,,
"DPC",1,"tests","https://www.wikipedia.org","Wikipedia","2020",,,,
"DPC",1,"population","https://www.wikipedia.org","Wikipedia","2020",,,,
"FRA",1,"icu","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",1,"hosp","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",1,"recovered","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",1,"deaths","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",1,"confirmed","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",1,"tests","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",2,"confirmed","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",2,"icu","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",2,"hosp","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",2,"deaths","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",2,"recovered","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",2,"tests","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",3,"icu","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",3,"hosp","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",3,"recovered","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",3,"deaths","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",3,"tests","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"FRA",3,"confirmed","https://github.com/opencovid19-fr/data","OpenCOVID19 France","2020",,,,
"GBR",2,"confirmed","https://coronavirus.data.gov.uk","Open Government Data, United Kingdom","2020",,,,
"GBR",3,"confirmed","https://coronavirus.data.gov.uk","Open Government Data, United Kingdom","2020",,,,
"GUM",1,"deaths","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"GUM",1,"confirmed","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"IND",1,"deaths","https://www.covid19india.org/","COVID19-India API","2020",,,,
"IND",1,"confirmed","https://www.covid19india.org/","COVID19-India API","2020",,,,
"IND",1,"recovered","https://www.covid19india.org/","COVID19-India API","2020",,,,
"IND",1,"tests","https://github.com/owid/covid-19-data","Our World in Data","2020",,,,
"IND",2,"deaths","https://www.covid19india.org/","COVID19-India API","2020",,,,
"IND",2,"confirmed","https://www.covid19india.org/","COVID19-India API","2020",,,,
"IND",2,"recovered","https://www.covid19india.org/","COVID19-India API","2020",,,,
"IND",2,"latitude","https://www.covid19india.org/","COVID19-India API","2020",,,,
"IND",2,"longitude","https://www.covid19india.org/","COVID19-India API","2020",,,,
"ITA",1,"deaths","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",1,"confirmed","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",1,"tests","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",1,"recovered","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",1,"hosp","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",1,"icu","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",1,"vent","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",2,"deaths","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",2,"confirmed","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",2,"tests","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",2,"recovered","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",2,"hosp","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",2,"icu","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",2,"vent","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",2,"latitude","https://www.istat.it/en/population-and-households?data-and-indicators","Istituto Nazionale di Statistica, Italia","2018",,,,
"ITA",2,"longitude","https://www.istat.it/en/population-and-households?data-and-indicators","Istituto Nazionale di Statistica, Italia","2018",,,,
"ITA",2,"population","https://www.istat.it/en/population-and-households?data-and-indicators","Istituto Nazionale di Statistica, Italia","2018",,,,
"ITA",3,"deaths","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",3,"confirmed","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",3,"tests","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",3,"recovered","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",3,"hosp","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",3,"icu","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",3,"vent","https://github.com/pcm-dpc/COVID-19","Ministero della Salute, Italia","2020",,,,
"ITA",3,"latitude","https://www.istat.it/en/population-and-households?data-and-indicators","Istituto Nazionale di Statistica, Italia","2018",,,,
"ITA",3,"longitude","https://www.istat.it/en/population-and-households?data-and-indicators","Istituto Nazionale di Statistica, Italia","2018",,,,
"ITA",3,"population","https://www.istat.it/en/population-and-households?data-and-indicators","Istituto Nazionale di Statistica, Italia","2018",,,,
"LIE",1,"deaths","https://github.com/openZH/covid_19","Open Government Data, Liechtenstein","2020",,,,
"LIE",1,"confirmed","https://github.com/openZH/covid_19","Open Government Data, Liechtenstein","2020",,,,
"LIE",1,"tests","https://github.com/openZH/covid_19","Open Government Data, Liechtenstein","2020",,,,
"LIE",1,"recovered","https://github.com/openZH/covid_19","Open Government Data, Liechtenstein","2020",,,,
"LIE",1,"hosp","https://github.com/openZH/covid_19","Open Government Data, Liechtenstein","2020",,,,
"LIE",1,"icu","https://github.com/openZH/covid_19","Open Government Data, Liechtenstein","2020",,,,
"LIE",1,"vent","https://github.com/openZH/covid_19","Open Government Data, Liechtenstein","2020",,,,
"LVA",1,"deaths","https://data.gov.lv/dati/dataset","Open Government Data, Latvia","2020",,,,
"LVA",1,"confirmed","https://data.gov.lv/dati/dataset","Open Government Data, Latvia","2020",,,,
"LVA",1,"tests","https://data.gov.lv/dati/dataset","Open Government Data, Latvia","2020",,,,
"LVA",2,"confirmed","https://data.gov.lv/dati/dataset","Open Government Data, Latvia","2020",,,,
"MNP",1,"deaths","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"MNP",1,"confirmed","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"MSZ",1,"deaths","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"MSZ",1,"confirmed","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"PRI",1,"deaths","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"PRI",1,"confirmed","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"RUS",1,"latitude","https://github.com/grwlf/COVID-19_plus_Russia","COVID-19_plus_Russia GitHub repository","2020",,,,
"RUS",1,"longitude","https://github.com/grwlf/COVID-19_plus_Russia","COVID-19_plus_Russia GitHub repository","2020",,,,
"RUS",2,"confirmed","https://github.com/grwlf/COVID-19_plus_Russia","COVID-19_plus_Russia GitHub repository","2020",,,,
"RUS",2,"latitude","https://github.com/grwlf/COVID-19_plus_Russia","COVID-19_plus_Russia GitHub repository","2020",,,,
"RUS",2,"longitude","https://github.com/grwlf/COVID-19_plus_Russia","COVID-19_plus_Russia GitHub repository","2020",,,,
"SVN",1,"tests","https://www.gov.si/en/topics/coronavirus-disease-covid-19/","Ministery of Health, Slovenia","2020",,,,
"SVN",1,"confirmed","https://www.gov.si/en/topics/coronavirus-disease-covid-19/","Ministery of Health, Slovenia","2020",,,,
"SVN",1,"hosp","https://www.gov.si/en/topics/coronavirus-disease-covid-19/","Ministery of Health, Slovenia","2020",,,,
"SVN",1,"icu","https://www.gov.si/en/topics/coronavirus-disease-covid-19/","Ministery of Health, Slovenia","2020",,,,
"SVN",1,"recovered","https://www.gov.si/en/topics/coronavirus-disease-covid-19/","Ministery of Health, Slovenia","2020",,,,
"SVN",1,"deaths","https://www.gov.si/en/topics/coronavirus-disease-covid-19/","Ministery of Health, Slovenia","2020",,,,
"SWE",1,"deaths","https://oppnadata.se/datamangd/#esc_entry=1424&esc_context=525","Public Health Agency, Sweden","2020",,,,
"SWE",1,"confirmed","https://oppnadata.se/datamangd/#esc_entry=1424&esc_context=525","Public Health Agency, Sweden","2020",,,,
"SWE",1,"icu","https://oppnadata.se/datamangd/#esc_entry=1424&esc_context=525","Public Health Agency, Sweden","2020",,,,
"SWE",2,"confirmed","https://oppnadata.se/datamangd/#esc_entry=1424&esc_context=525","Public Health Agency, Sweden","2020",,,,
"USA",1,"deaths","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"USA",1,"confirmed","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
"USA",1,"latitude","https://github.com/CSSEGISandData/COVID-19","Johns Hopkins Center for Systems Science and Engineering","2020",,,,
