"id","id_minshall_git","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_jhu_csse","key_local","latitude","longitude","population"
,,,,,,,"-",,,
"6759ffbc","Azad Jammu and Kashmir",2,"Azad Jammu and Kashmir",,"PAK.1_1","PKJK",,33.964946745,73.8845818296135,4045366
"dad861df","Balochistan",2,"Balochistan",,"PAK.2_1","PKBA",,28.493040085,65.6950828084984,12344408
"84e5f75a","Gilgit-Baltistan",2,"Gilgit-Baltistan",,"PAK.6_1","PKGB",,35.80554581,74.8530162496693,1013584
"28530f42","Islamabad",2,"Islamabad",,"PAK.4_1","PKIS",,33.648406985,72.9084850089836,2006572
"04ed6560","Khyber Pakhtunkhwa",2,"Khyber Pakhtunkhwa",,"PAK.5_1","PKKP",,34.078395845,72.4471759505805,30523371
"48449849","Punjab",2,"Punjab",,"PAK.7_1","PKPB",,30.863492965,72.315069579151,110012442
"c5600790","Sindh",2,"Sindh",,"PAK.8_1","PKSD",,26.180321695,68.7692864434365,47886051
