"id","id_mzcr.cz","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population","population_data_source","population_data_source_url"
"b37844da","CZ0525",3,"Královéhradecký","Trutnov",,"CZE.5.5_1","ChIJ1x2MpwmNDkcR0KsUZg-vAAM","CZ.HK.TU","CZ0525","CZ052",50.5536994934083,15.8444812263106,118174,"Statoids (2011)","http://www.statoids.com/ycz.html"
"9f38d300","CZ0511",3,"Liberecký","Ceská Lípa",,"CZE.6.1_1","ChIJf1Z58u9pCUcRUKsUZg-vAAM","CZ.LK.CL","CZ0511","CZ051",50.6610355377198,14.6452334452713,100756,"Statoids (2011)","http://www.statoids.com/ycz.html"
"063182ba","CZ0512",3,"Liberecký","Jablonec nad Nisou",,"CZE.6.2_1","ChIJy8smMbrLDkcRYKsUZg-vAAM","CZ.LK.JN","CZ0512","CZ051",50.7303581237793,15.2522011682363,88200,"Statoids (2011)","http://www.statoids.com/ycz.html"
"7136b22c","CZ0513",3,"Liberecký","Liberec",,"CZE.6.3_1","ChIJEVRTg0wxCUcRcKsUZg-vAAM","CZ.LK.LB","CZ0513","CZ051",50.7904148101807,14.9703345601983,169878,"Statoids (2011)","http://www.statoids.com/ycz.html"
"ef52278f","CZ0514",3,"Liberecký","Semily",,"CZE.6.4_1","ChIJyU9tKIu3DkcRgKsUZg-vAAM","CZ.LK.SM","CZ0514","CZ051",50.646806716919,15.4378824634452,73605,"Statoids (2011)","http://www.statoids.com/ycz.html"
"8efb7112","CZ0801",3,"Moravskoslezský","Bruntál",,"CZE.7.1_1","ChIJA7Z1fdaHEUcRcK0UZg-vAAM","CZ.VK.BR","CZ0801","CZ080",50.0441837310792,17.4673352470675,92693,"Statoids (2011)","http://www.statoids.com/ycz.html"
"17f220a8","CZ0802",3,"Moravskoslezský","Frýdek-Místek",,"CZE.7.2_1","ChIJaUMoIlkJFEcRgK0UZg-vAAM","CZ.VK.FM","CZ0802","CZ080",49.6164283752442,18.52480695451,207756,"Statoids (2011)","http://www.statoids.com/ycz.html"
"60f5103e","CZ0803",3,"Moravskoslezský","Karviná",,"CZE.7.3_1","ChIJRZcOS1r-E0cRkK0UZg-vAAM","CZ.VK.KI","CZ0803","CZ080",49.8418407440186,18.4704988216135,256394,"Statoids (2011)","http://www.statoids.com/ycz.html"
"fe91859d","CZ0804",3,"Moravskoslezský","Nový Jicín",,"CZE.7.4_1","ChIJIxMFSE_qE0cRoK0UZg-vAAM","CZ.VK.NJ","CZ0804","CZ080",49.6840610504151,17.979390106391,148074,"Statoids (2011)","http://www.statoids.com/ycz.html"
"8996b50b","CZ0805",3,"Moravskoslezský","Opava",,"CZE.7.5_1","ChIJQxzMOQ7ZE0cRsK0UZg-vAAM","CZ.VK.OP","CZ0805","CZ080",49.8899288177491,17.9126640192808,174899,"Statoids (2011)","http://www.statoids.com/ycz.html"
"109fe4b1","CZ0806",3,"Moravskoslezský","Ostrava-mesto",,"CZE.7.6_1","ChIJneckMWpYEUcRqCOgY2-OIrY","CZ.VK.OV","CZ0806","CZ080",49.8271293640138,18.2496951180235,326018,"Statoids (2011)","http://www.statoids.com/ycz.html"
"9cbc076e","CZ0711",3,"Olomoucký","Jeseník",,"CZE.8.1_1","ChIJbbSUfa_vEUcRIK0UZg-vAAM","CZ.OK.JE","CZ0711","CZ071",50.2717208862306,17.1804616394166,38779,"Statoids (2011)","http://www.statoids.com/ycz.html"
"05b556d4","CZ0712",3,"Olomoucký","Olomouc",,"CZE.8.2_1","ChIJBddoFR5JEkcR8KwUZg-vAAM","CZ.OK.OC","CZ0712","CZ071",49.6568965911865,17.244538992711,230408,"Statoids (2011)","http://www.statoids.com/ycz.html"
"ecd6f3e1","CZ0714",3,"Olomoucký","Prerov",,"CZE.8.3_1","ChIJtTT3ffCvE0cRAK0UZg-vAAM","CZ.OK.PR","CZ0714","CZ071",49.50905418396,17.5925138250413,130082,"Statoids (2011)","http://www.statoids.com/ycz.html"
"72b26642","CZ0713",3,"Olomoucký","Prostejov",,"CZE.8.4_1","ChIJIRtacRpZEkcR4KwUZg-vAAM","CZ.OK.PV","CZ0713","CZ071",49.4887371063234,17.1014109636583,107859,"Statoids (2011)","http://www.statoids.com/ycz.html"
"9bd1c377","CZ0715",3,"Olomoucký","Šumperk",,"CZE.8.5_1","ChIJ8zgMVQcbEkcREK0UZg-vAAM","CZ.OK.SU","CZ0715","CZ071",49.9743690490724,16.9471713296676,121299,"Statoids (2011)","http://www.statoids.com/ycz.html"
"ad0eb182","CZ0531",3,"Pardubický","Chrudim",,"CZE.9.1_1","ChIJg-fAjTS3DUcR4KsUZg-vAAM","CZ.EK.CR","CZ0531","CZ053",49.8377895355225,15.8401048388134,103199,"Statoids (2011)","http://www.statoids.com/ycz.html"
"3407e038","CZ0532",3,"Pardubický","Pardubice",,"CZE.9.2_1","ChIJiUqlb9PMDUcR8KsUZg-vAAM","CZ.EK.PU","CZ0532","CZ053",50.0439987182618,15.7603911976741,168423,"Statoids (2011)","http://www.statoids.com/ycz.html"
