"id","id_gov.co","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","latitude","longitude","population","population_data_source_url","population_data_source"
"f442234b","putumayo",2,"Putumayo",,"COL.23_1","ChIJ4dNiCRwQJ44RphIOU5DEezg","CO.PU","COPUT","86",0.42315006,-75.6418407015748,348182,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"ca1ff43c","quindio",2,"Quindio",,"COL.24_1","ChIJX4ofDKJUOI4R44PjiT5XqwU","CO.QD","COQUI","63",4.42279935,-75.734894484235,539904,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"a524c5a4","risaralda",2,"Risaralda",,"COL.25_1","ChIJIa1iMeKAOI4RsIIuwg6R6io","CO.RI","CORIS","66",5.06900096,-76.1063041202479,943401,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"d83d7857","santander",2,"Santander",,"COL.27_1","ChIJm4wE_VJ4Qo4RJeD6ou1GDvc","CO.ST","COSAN","68",6.91385031,-73.2866928456115,2184837,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"f20f8d57","sucre",2,"Sucre",,"COL.28_1","ChIJ8YlDTjxaWI4R-0EWY0TZLd8","CO.SU","COSUC","70",9.18555069,-75.1871441550136,904863,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"9b3e0650","tolima",2,"Tolima",,"COL.29_1","ChIJCd_Y75zEOI4RlzwFW87NAc8","CO.TO","COTOL","73",4.12739992,-75.1166369025591,1330187,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"581f58ea","valle_del_cauca",2,"Valle del Cauca",,"COL.30_1","ChIJj0EMhiryNo4RoExlemHhg-s","CO.VC","COVAC","76",4.02000022,-76.2116118958504,4475886,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"3823baf8","vaupes",2,"Vaupés",,"COL.31_1",,"CO.VP","COVAU","97",0.380149995,-70.941023648767,40797,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"v9324r34","vichada",2,"Vichada",,"COL.32_1","ChIJL0wGYMm4DI4RShTsnujDtOo","CO.VD","COVID","99",4.500317335,-69.4636333750721,107808,"https://en.wikipedia.org/wiki/Departments_of_Colombia","Wikipedia (2018)"
"4e981796","91263",3,"Amazonas","El Encanto","COL.1.1_1",,"CO.AM.EE","COAMA91263","91263",-1.43113547563553,-73.2907942604338,8795,"https://github.com/CSSEGISandData/COVID-19_Unified-Dataset","Johns Hopkins Center for Systems Science and Engineering"
