"id","pop","pop_14","pop_15_64","pop_65","pop_density","pop_death_rate","pop_age"
"Afghanistan",37172386,0.430901755117794,0.543248975483403,0.0258492693988024,56.937760009803,0.006575,19.5
"Albania",2866376,0.17672873724304,0.685823903647225,0.137447359109736,104.612262773723,0.007714,34.3
"Algeria",42228429,0.301486785862257,0.634888248687945,0.0636249654497986,17.7300750711665,0.004717,28.9
"Andorra",77006,0.156,0.714,0.13,163.842553191489,0.0043,46.2
"Angola",30809762,0.468089247095412,0.509747016426956,0.0221637364776329,24.7130520574316,0.008432,15.9
"Antigua and Barbuda",96286,0.220810917475022,0.691190827326922,0.0879982551980558,218.831818181818,0.006316,32.7
"Argentina",44494502,0.247609338351238,0.641212772887989,0.111177888760774,16.2585100979651,0.007616,32.4
"Armenia",2951776,0.206334219249969,0.6811276041799,0.112538176570131,103.680224798033,0.009862,36.6
"Australia",24992369,0.191906170385658,0.651529077338752,0.156564752275591,3.24912948744283,0.0065,37.5
"Austria",8847037,0.142979476320233,0.667004859083869,0.190015664595899,107.206926667578,0.0095,44.5
"Azerbaijan",9942334,0.233695698603865,0.704352473888986,0.0619518275071493,120.265319946776,0.0058,32.6
"Bahamas",385640,0.224848756732367,0.702575219701429,0.0725760235662035,38.5254745254745,0.00672,32.8
"Bahrain",1569439,0.192543101196218,0.783193560020542,0.0242633387832394,2017.27369979138,0.002368,32.9
"Bangladesh",161356039,0.27706022482501,0.671355868778783,0.0515839063962068,1239.57931166936,0.005533,27.9
"Barbados",286641,0.17342948147683,0.668543578901832,0.158026939621338,666.606976744186,0.008936,39.5
"Belarus",9485386,0.168659430504801,0.682889087752101,0.148451481743098,46.7287999040892,0.0126,40.9
"Belgium",11422068,0.170554227603857,0.641558335012748,0.187887437383395,377.214927344782,0.0096,41.6
"Belize",383071,0.302797653698662,0.649837758535624,0.0473645877657144,16.7939938623411,0.004681,23.9
"Benin",11485048,0.424476823945995,0.542987123079372,0.0325360529746338,101.853919829727,0.009025,17
"Bhutan",754394,0.257713537330923,0.682256345541021,0.0600301171280561,19.7775277714448,0.006243,29.1
"Bolivia",11353142,0.310735477456373,0.617345048621782,0.0719194739218447,10.4801458506416,0.006795,25.3
"Bosnia and Herzegovina",3323929,0.147662176493152,0.687634648796227,0.164703174710621,64.92048828125,0.010563,43.3
"Brazil",209469333,0.213340719108545,0.697430902567055,0.0892283783244003,25.0617162430876,0.006378,33.2
"Brunei",428962,0.230264614896856,0.721003909428086,0.0487314756750582,81.3969639468691,0.004345,31.1
