"id","id_ssi.dk","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population","population_data_source_url","population_data_source"
"2759fc8a","580",3,"Syddanmark","Aabenraa",,"DNK.5.1_1","ChIJuetkrQFXs0cRptdoq33ZXVw","DK.SD.AA","580","DK032",54.9906196594239,9.35367018187079,60151,"http://www.statoids.com/ydk.html","Statoids (2005)"
"d18ec6d0","492",3,"Syddanmark","Ærø",,"DNK.5.2_1",,"DK.SD.AE","492","DK031",54.8938884735108,10.3238902091981,6939,"http://www.statoids.com/ydk.html","Statoids (2005)"
"dc747e37","420",3,"Syddanmark","Assens",,"DNK.5.3_1","ChIJ5RYEED7FTEYRxUdjUmqOKlQ","DK.SD.AS","420","DK031",55.2966651916504,10.0835311478431,41201,"http://www.statoids.com/ydk.html","Statoids (2005)"
"c4ad2541","530",3,"Syddanmark","Billund",,"DNK.5.4_1","ChIJx78AANUMS0YRRZpiWRaduEE","DK.SD.BI","530","DK032",55.7455062866212,8.98995937498495,26076,"http://www.statoids.com/ydk.html","Statoids (2005)"
"cedde192","561",3,"Syddanmark","Esbjerg",,"DNK.5.5_1","ChIJ-aPYQ5LbTEYRr2mLxY5QIUw","DK.SD.ES","561","DK032",55.4088344573975,8.74728203722266,114698,"http://www.statoids.com/ydk.html","Statoids (2005)"
"c56f4f76","430",3,"Syddanmark","Faaborg-Midtfyn",,"DNK.5.6_1","ChIJqyqfxWXDTEYRQCjHMJvasj4","DK.SD.FM","430","DK031",55.2000942230226,10.4273890662527,51144,"http://www.statoids.com/ydk.html","Statoids (2005)"
"20d380be","563",3,"Syddanmark","Fanø",,"DNK.5.7_1",,"DK.SD.FA","563","DK032",55.4028644561768,8.42722129821786,3151,"http://www.statoids.com/ydk.html","Statoids (2005)"
"73a25d78","607",3,"Syddanmark","Fredericia",,"DNK.5.8_1","ChIJ49WbyX2aTEYRO4XhD71izog","DK.SD.FR","607","DK032",55.568193435669,9.66922858711943,49147,"http://www.statoids.com/ydk.html","Statoids (2005)"
"f69b47c3","510",3,"Syddanmark","Haderslev",,"DNK.5.9_1","ChIJ_yGl69qpTEYRcmXyn1TTsHw","DK.SD.HA","510","DK032",55.2543048858643,9.32620656228601,56399,"http://www.statoids.com/ydk.html","Statoids (2005)"
"8a2ed9b1","440",3,"Syddanmark","Kerteminde",,"DNK.5.10_1","ChIJyYAtrIsZTUYRehX3ryp7dr8","DK.SD.KE","440","DK031",55.4722557067871,10.6300002254852,23071,"http://www.statoids.com/ydk.html","Statoids (2005)"
"a8f79acf","621",3,"Syddanmark","Kolding",,"DNK.5.11_1","ChIJcydl4RCgTEYRq2Z8Xzgi9pw","DK.SD.KO","621","DK032",55.4691677093507,9.4682671965178,86049,"http://www.statoids.com/ydk.html","Statoids (2005)"
"c895f791","482",3,"Syddanmark","Langeland",,"DNK.5.12_1","ChIJ-5__Gcm1skcRGSe-DWiojkI","DK.SD.LA","482","DK031",54.9424991607667,10.7772212028505,14223,"http://www.statoids.com/ydk.html","Statoids (2005)"
