"id","id_gov_uk","id_github.oxcgrt.covidpolicytracker","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","key_nuts","latitude","longitude","population"
"8a6e9b1c","E07000144",,3,"England","Broadland","GBR.1.59.2_1",,"GB.NF.BO",,"E07000144","UKH15",52.672613143921,1.28149553807091,131931
"51f12e5e","E09000006",,3,"England","Bromley","GBR.1.36.5_1",,"GB.GL.BZ",,"E09000006","UKI61",51.3605842590332,0.0728869237449423,332752
"c769b382","E07000234",,3,"England","Bromsgrove","GBR.1.117.1_1",,"GB.WC.BR",,"E07000234","UKG12",52.355827331543,-2.01937062328888,100569
"4905bff0","E07000095",,3,"England","Broxbourne","GBR.1.41.1_1",,"GB.HT.BR",,"E07000095","UKH23",51.72709274292,-0.0611017585921163,97592
"48206dea","E07000172",,3,"England","Broxtowe","GBR.1.67.3_1",,"GB.NT.BR",,"E07000172","UKF16",52.9813804626465,-1.27603755762967,114627
"6e103ee3","E07000117",,3,"England","Burnley","GBR.1.48.1_1",,"GB.LA.BU",,"E07000117","UKD46",53.7817821502686,-2.23867186850788,89344
"f0ebe1f3","E08000002",,3,"England","Bury","GBR.1.14.1_1",,"GB.BR.BR",,"E08000002","UKD37",53.5883789062501,-2.32888800278746,190708
"acc182a6","E08000033",,3,"England","Calderdale","GBR.1.15.1_1",,"GB.CX.CX",,"E08000033","UKE44",53.7184829711914,-1.95148138090238,211439
"e6767804","E07000008",,3,"England","Cambridge","GBR.1.16.1_1",,"GB.CM.CA",,"E07000008","UKH12",52.1869888305665,0.202239147126637,125063
"26f61ec8","E09000007",,3,"England","Camden","GBR.1.36.6_1",,"GB.GL.CN",,"E09000007","UKI31",51.5369892120361,-0.148188020558919,279516
"d6a34064","E07000192",,3,"England","Cannock Chase","GBR.1.92.1_1",,"GB.ST.CC",,"E07000192","UKG24",52.7081546783449,-1.99217048866907,101484
"000c3f34","E07000106",,3,"England","Canterbury","GBR.1.44.2_1",,"GB.KE.CA",,"E07000106","UKJ44",51.2762680053711,1.09348811582097,166762
"d4401a86","E07000028",,3,"England","Carlisle","GBR.1.22.3_1",,"GB.CU.CA",,"E07000028","UKD12",55.0142993927003,-2.79319184335984,108524
"c72bef14","E07000069",,3,"England","Castle Point","GBR.1.33.4_1",,"GB.EX.CP",,"E07000069","UKH37",51.5559234619142,0.569228002192031,90524
"daceaaf2","E06000056",,3,"England","Central Bedfordshire","GBR.1.17.1_1",,"GB.CB.CB",,"E06000056","UKH25",52.0048141479493,-0.445365108401867,294096
"c242c9c2","E07000130",,3,"England","Charnwood","GBR.1.51.2_1",,"GB.LE.CH",,"E07000130","UKF22",52.737554550171,-1.14971969627989,188416
"a7ec66f1","E07000070",,3,"England","Chelmsford","GBR.1.33.5_1",,"GB.EX.CH",,"E07000070","UKH36",51.7442588806153,0.471680899265173,179549
"a937eec3","E07000078",,3,"England","Cheltenham","GBR.1.35.1_1",,"GB.GC.CH",,"E07000078","UKK13",51.8972339630127,-2.08782757477755,116043
"384a9965","E07000177",,3,"England","Cherwell","GBR.1.69.1_1",,"GB.OX.CH",,"E07000177","UKJ14",51.9740467071533,-1.22329250998114,151846
"536a8622","E06000049",,3,"England","Cheshire East","GBR.1.18.1_1",,"GB.CQ.CQ",,"E06000049","UKD62",53.1717433929444,-2.27741365438077,386667
"33ad0fc7","E06000050",,3,"England","Cheshire West and Chester","GBR.1.19.1_1",,"GB.CZ.CZ",,"E06000050","UKD63",53.1819400787354,-2.73083839303355,343823
"c4ed67ec","E07000034",,3,"England","Chesterfield","GBR.1.25.3_1",,"GB.DB.CH",,"E07000034","UKF12",53.26517868042,-1.42118165436897,104930
"a975b255","E07000225",,3,"England","Chichester","GBR.1.110.3_1",,"GB.WS.CH",,"E07000225","UKJ27",50.9091415405274,-0.74143888969759,121508
"98c704b9","E07000005",,3,"England","Chiltern","GBR.1.13.2_1",,"GB.BU.CH",,"E07000005","UKJ13",51.6865005493164,-0.659813280528016,96219
"feaf2372","E07000118",,3,"England","Chorley","GBR.1.48.2_1",,"GB.LA.CH",,"E07000118","UKD47",53.6646976470948,-2.67127192326041,118870
"d0eb5667","E07000071",,3,"England","Colchester","GBR.1.33.6_1",,"GB.EX.CO",,"E07000071","UKH34",51.8733673095704,0.83934680412974,197200
"a3472a10","E07000029",,3,"England","Copeland","GBR.1.22.4_1",,"GB.CU.CO",,"E07000029","UKD11",54.364444732666,-3.24675700828685,68041
"94186e44","E07000150",,3,"England","Corby","GBR.1.64.1_1",,"GB.NA.CO",,"E07000150","UKF25",52.5009994506836,-0.700522419394166,73053
"dda36eeb","E06000052",,3,"England","Cornwall and Isles of Scilly","GBR.1.20.1_1",,"GB.CO.CO",,"E06000052","UKK30",50.4391651153565,-4.62527751922599,575525
"de30de55","E07000079",,3,"England","Cotswold","GBR.1.35.2_1",,"GB.GC.CO",,"E07000079","UKK13",51.8469944000244,-1.89549730657563,90264
"b4d2ab25","E06000047",,3,"England","County Durham","GBR.1.30.1_1","County Durham","GB.DH.DH",,"E06000047","UKC14",54.6740245819093,-1.84229767696049,533149
"c5b04768","E08000026",,3,"England","Coventry","GBR.1.21.1_1",,"GB.CT.CT",,"E08000026","UKG33",52.4251327514649,-1.5244217275759,379387
"263c6c3d","E07000163",,3,"England","Craven","GBR.1.63.1_1",,"GB.NY.CR",,"E07000163","UKE22",54.0612087249756,-2.1626748153712,57338
"307ce3ef","E07000226",,3,"England","Crawley","GBR.1.110.4_1",,"GB.WS.CR",,"E07000226","UKJ28",51.1228179931641,-0.184284310634073,112474
"b6490359","E09000008",,3,"England","Croydon","GBR.1.36.7_1",,"GB.GL.CY",,"E09000008","UKI62",51.3534336090088,-0.0578078002090184,388563
"d00cee4a","E07000096",,3,"England","Dacorum","GBR.1.41.2_1",,"GB.HT.DA",,"E07000096","UKH23",51.7640247344971,-0.550809058794354,155457
"3eb00f0d","E06000005",,3,"England","Darlington","GBR.1.23.1_1",,"GB.DA.DA",,"E06000005","UKC13",54.5429935455322,-1.58181145233776,107402
"770b0fa2","E07000107",,3,"England","Dartford","GBR.1.44.3_1",,"GB.KE.DA",,"E07000107","UKJ43",51.4287242889405,0.255400570167065,114051
"e31f5ed2","E07000151",,3,"England","Daventry","GBR.1.64.2_1",,"GB.NA.DA",,"E07000151","UKF24",52.3154106140137,-1.02556765742993,86951
"27ab3e4c","E06000015",,3,"England","Derby","GBR.1.24.1_1",,"GB.DE.DE",,"E06000015","UKF11",52.9185543060303,-1.47666683275068,256814
"b3ea577a","E07000035",,3,"England","Derbyshire Dales","GBR.1.25.4_1",,"GB.DB.DD",,"E07000035","UKF13",53.1042003631592,-1.68530668711783,72422
"999a243d","E08000017",,3,"England","Doncaster","GBR.1.27.1_1",,"GB.DC.DC",,"E08000017","UKE31",53.5279235839844,-1.12620296408268,312785
"4a71b763","E06000059",,3,"England","Dorset","GBR.1.28_1",,"GB.DS",,"E06000059","UKK25",50.79870796,-2.44102534791705,379791
"e7b41233","E07000108",,3,"England","Dover","GBR.1.44.4_1",,"GB.KE.DO",,"E07000108","UKJ44",51.2094688415527,1.29943884181278,118514
"b2b777fe","E08000027",,3,"England","Dudley","GBR.1.29.1_1",,"GB.DY.DY",,"E08000027","UKG36",52.4905529022217,-2.13533151773516,322363
"c14e33cf","E09000009",,3,"England","Ealing","GBR.1.36.8_1",,"GB.GL.EG",,"E09000009","UKI73",51.5225620269776,-0.335317973944987,340341
"91714892","E07000009",,3,"England","East Cambridgeshire","GBR.1.16.2_1",,"GB.CM.EC",,"E07000009","UKH12",52.320333480835,0.337942311467881,90172
"8cc13532","E07000040",,3,"England","East Devon","GBR.1.26.1_1",,"GB.DO.ED",,"E07000040","UKK43",50.7604923248291,-3.25318003525096,148080
"501e8eb1","E07000085",,3,"England","East Hampshire","GBR.1.38.2_1",,"GB.HA.EH",,"E07000085","UKJ36",51.0503787994385,-0.972353098733778,123838
"614b8070","E07000242",,3,"England","East Hertfordshire","GBR.1.41.3_1",,"GB.HT.EH",,"E07000242","UKH23",51.8605880737306,0.00540401300892425,151786
"5c265c61","E07000137",,3,"England","East Lindsey","GBR.1.52.2_1",,"GB.LI.EL",,"E07000137","UKF30",53.2602787017822,0.0154283037275157,142030
"7a160f68","E07000152",,3,"England","East Northamptonshire","GBR.1.64.3_1",,"GB.NA.EN",,"E07000152","UKF25",52.445764541626,-0.508609083197122,95103
"20c6fa55","E06000011",,3,"England","East Riding of Yorkshire","GBR.1.31.1_1",,"GB.EY.EY",,"E06000011","UKE12",53.8645839691163,-0.531242071259999,343201
"a1a470f2","E07000193",,3,"England","East Staffordshire","GBR.1.92.2_1",,"GB.ST.ES",,"E07000193","UKG24",52.8950386047364,-1.9281836555618,120923
"88282545","E07000244",,3,"England","East Suffolk","GBR.1.96.6_1",,"GB.SF.SC",,"E07000244","UKH14",52.1377792358399,1.39279959771687,250373
"c9f06726","E07000061",,3,"England","Eastbourne","GBR.1.32.1_1",,"GB.ES.EA",,"E07000061","UKJ22",50.7711124420167,0.253927891047453,103324
"c917df0b","E07000086",,3,"England","Eastleigh","GBR.1.38.3_1",,"GB.HA.EA",,"E07000086","UKJ35",50.9299850463868,-1.31257717654465,135520
"c380a3f5","E07000030",,3,"England","Eden","GBR.1.22.5_1",,"GB.CU.ED",,"E07000030","UKD12",54.6618041992188,-2.64660344631344,53754
"754db1fb","E07000207",,3,"England","Elmbridge","GBR.1.98.1_1",,"GB.SR.EL",,"E07000207","UKJ25",51.3494014739991,-0.401258984234699,137215
"a189ba2a","E09000010",,3,"England","Enfield","GBR.1.36.9_1",,"GB.GL.EF",,"E09000010","UKI54",51.641513824463,-0.0807868619679803,333587
"49e207dd","E07000072",,3,"England","Epping Forest","GBR.1.33.7_1",,"GB.EX.EF",,"E07000072","UKH35",51.7108135223389,0.158578540213477,132175
"e5f2ac6a","E07000208",,3,"England","Epsom and Ewell","GBR.1.98.2_1",,"GB.SR.EE",,"E07000208","UKJ26",51.334981918335,-0.262847763439038,81003
"2ae306c0","E07000036",,3,"England","Erewash","GBR.1.25.5_1",,"GB.DB.ER",,"E07000036","UKF13",52.9588966369629,-1.38947889382461,115332
"fbc605a4","E07000041",,3,"England","Exeter","GBR.1.26.2_1",,"GB.DO.EX",,"E07000041","UKK43",50.7193813323975,-3.5128526364783,133333
"be10ef9d","E07000087",,3,"England","Fareham","GBR.1.38.4_1",,"GB.HA.FA",,"E07000087","UKJ35",50.8491668701173,-1.21704446704881,116338
"f1b6c177","E07000010",,3,"England","Fenland","GBR.1.16.3_1",,"GB.CM.FE",,"E07000010","UKH12",52.5511665344239,0.00258389975644649,102080
"1e7aca6c","E07000112",,3,"England","Folkestone and Hythe","GBR.1.44.8_1",,"GB.KE.SH",,"E07000112","UKJ44",51.0522212982177,0.987679272946218,113320
"20747a3e","E07000080",,3,"England","Forest of Dean","GBR.1.35.3_1",,"GB.GC.FD",,"E07000080","UKK13",51.8172206878662,-2.54410092452363,87107
"89a813e4","E07000119",,3,"England","Fylde","GBR.1.48.3_1",,"GB.LA.FY",,"E07000119","UKD45",53.796314239502,-2.89604324449813,81211
"abac46bf","E08000037",,3,"England","Gateshead","GBR.1.34.1_1",,"GB.GH.GH",,"E08000037","UKC22",54.9264488220215,-1.67272860270279,201950
"3f275d7c","E07000173",,3,"England","Gedling","GBR.1.67.4_1",,"GB.NT.GE",,"E07000173","UKF16",53.0240306854249,-1.12274993050203,118239
"57734aa8","E07000081",,3,"England","Gloucester","GBR.1.35.4_1",,"GB.GC.GL",,"E07000081","UKK13",51.8657836914063,-2.24280534934803,129709
"2eaff20c","E07000088",,3,"England","Gosport","GBR.1.38.5_1",,"GB.HA.GO",,"E07000088","UKJ35",50.80597114563,-1.1630669010096,84679
"90b322a5","E07000109",,3,"England","Gravesham","GBR.1.44.5_1",,"GB.KE.GR",,"E07000109","UKJ43",51.3870220184327,0.393204503406799,106890
"fd69ab8a","E07000145",,3,"England","Great Yarmouth","GBR.1.59.3_1",,"GB.NF.GY",,"E07000145","UKH15",52.633056640625,1.65437203003093,99198
"d68e8abc","E09000011",,3,"England","Greenwich","GBR.1.36.10_1",,"GB.GL.GR",,"E09000011","UKI51",51.4672927856446,0.0458415065260204,289034
"92f59cfc","E07000209",,3,"England","Guildford","GBR.1.98.3_1",,"GB.SR.GU",,"E07000209","UKJ25",51.2517318725586,-0.562034418220305,150352
"4f87db06","E09000012",,3,"England","Hackney and City of London","GBR.1.36.23_1",,"GB.GL.LN",,"E09000012","UKI31",51.5114727020264,-0.0847241216354044,291879
"a7b95eb7","E06000006",,3,"England","Halton","GBR.1.37.1_1","Borough of Halton","GB.HL.HL",,"E06000006","UKD71",53.3562507629395,-2.72344150294153,129759
"b858f99e","E07000164",,3,"England","Hambleton","GBR.1.63.2_1",,"GB.NY.HM",,"E07000164","UKE22",54.2559242248536,-1.43989748879826,91932
"3880eb90","E09000013",,3,"England","Hammersmith and Fulham","GBR.1.36.12_1",,"GB.GL.HF",,"E09000013","UKI33",51.4923725128175,-0.220359130062902,183544
"b545f954","E07000131",,3,"England","Harborough","GBR.1.51.3_1",,"GB.LE.HA",,"E07000131","UKF22",52.5436038970948,-0.907520254243094,95537
"a6e47e33","E09000014",,3,"England","Haringey","GBR.1.36.13_1",,"GB.GL.HY",,"E09000014","UKI43",51.5839138031006,-0.0965224652372564,266357
"3ee5374b","E07000073",,3,"England","Harlow","GBR.1.33.8_1",,"GB.EX.HA",,"E07000073","UKH35",51.7552013397218,0.0886198767202451,87280
"cf5fc908","E07000165",,3,"England","Harrogate","GBR.1.63.3_1",,"GB.NY.HR",,"E07000165","UKE22",54.0934734344483,-1.61023762596536,161545
"d1e34ea5","E09000015",,3,"England","Harrow","GBR.1.36.14_1",,"GB.GL.HR",,"E09000015","UKI74",51.5966415405274,-0.374096358568261,252338
"59a8c29a","E07000089",,3,"England","Hart","GBR.1.38.6_1",,"GB.HA.HR",,"E07000089","UKJ37",51.2666263580323,-0.920097532378733,97608
