"id","id_gv_at","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_hasc","key_local","key_nuts","latitude","longitude","population"
"222b864c",319,3,"Niederösterreich","Sankt Pölten Land","AUT.3.16_1",,"AT.NO.PL","319","AT123",48.141067505,15.820041802596,131729
"70da6d2b",320,3,"Niederösterreich","Scheibbs","AUT.3.18_1",,"AT.NO.SB","320","AT121",47.928310395,15.1627524145495,41414
"07dd5dbd",321,3,"Niederösterreich","Tulln","AUT.3.19_1",,"AT.NO.TU","321","AT126",48.35216713,15.9639807963677,104593
"9ed40c07",322,3,"Niederösterreich","Waidhofen an der Thaya","AUT.3.20_1",,"AT.NO.WT","322","AT124",48.85128784,15.3825569158749,25682
"dbe55e13",303,3,"Niederösterreich","Waidhofen an der Ybbs","AUT.3.21_1",,"AT.NO.WY","303","AT121",47.952787395,14.7469465472603,11222
"4581cbb0",304,3,"Niederösterreich","Wiener Neustadt","AUT.3.24_1",,"AT.NO.WN","304","AT122",47.810848235,16.2396849956953,45823
"e9d33c91",323,3,"Niederösterreich","Wiener Neustadt Land","AUT.3.23_1",,"AT.NO.WB","323","AT122",47.867996215,15.9181112179647,78307
"00b099a4",325,3,"Niederösterreich","Zwettl","AUT.3.25_1",,"AT.NO.ZT","325","AT124",48.557985305,15.0698508275665,41987
"40cedd35",404,3,"Oberösterreich","Braunau am Inn","AUT.4.1_1",,"AT.OO.BR","404","AT311",48.135429385,13.0533213627796,105553
"37c9eda3",405,3,"Oberösterreich","Eferding","AUT.4.2_1",,"AT.OO.EF","405","AT312",48.35229111,13.9616106387103,33178
"aec0bc19",406,3,"Oberösterreich","Freistadt","AUT.4.3_1",,"AT.OO.FR","406","AT313",48.47593689,14.6403664813966,66861
"d9c78c8f",407,3,"Oberösterreich","Gmunden","AUT.4.4_1",,"AT.OO.GM","407","AT315",47.759191515,13.7383806012231,101859
"4978911e",408,3,"Oberösterreich","Grieskirchen","AUT.4.5_1",,"AT.OO.GR","408","AT311",48.283987045,13.7592410837459,64875
"3e7fa188",409,3,"Oberösterreich","Kirchdorf an der Krems","AUT.4.6_1",,"AT.OO.KI","409","AT314",47.83093071,14.241320032201,57071
"30a429ba",401,3,"Oberösterreich","Linz","AUT.4.8_1",,"AT.OO.LS","401","AT312",48.299583435,14.3017608737336,206595
"5eb8286d",410,3,"Oberösterreich","Linz Land","AUT.4.7_1",,"AT.OO.LL","410","AT312",48.205303195,14.3208576137606,151371
"29bf18fb",411,3,"Oberösterreich","Perg","AUT.4.9_1",,"AT.OO.PE","411","AT313",48.29283714,14.7000542398823,68968
"b0b64941",412,3,"Oberösterreich","Ried im Innkreis","AUT.4.10_1",,"AT.OO.RI","412","AT311",48.20725441,13.4397889098018,61690
"c7b179d7",413,3,"Oberösterreich","Rohrbach im Mühlkreis","AUT.4.11_1",,"AT.OO.RO","413","AT313",48.564870835,13.98721529783,56545
"59d5ec74",414,3,"Oberösterreich","Schärding","AUT.4.12_1",,"AT.OO.SD","414","AT311",48.420482635,13.5668429047798,57391
"a9ad7800",402,3,"Oberösterreich","Steyr","AUT.4.14_1",,"AT.OO.SR","402","AT314",48.0542202,14.4216084369278,38056
"2ed2dce2",415,3,"Oberösterreich","Steyr Land","AUT.4.13_1",,"AT.OO.SE","415","AT314",47.90917206,14.5296590884761,60717
"b7db8d58",416,3,"Oberösterreich","Urfahr Umgebung","AUT.4.15_1",,"AT.OO.UU","416","AT312",48.4251976,14.2628534258341,86005
"c0dcbdce",417,3,"Oberösterreich","Vöcklabruck","AUT.4.16_1",,"AT.OO.VB","417","AT315",47.948112485,13.5552644118976,137297
"deaa4896",403,3,"Oberösterreich","Wels","AUT.4.18_1",,"AT.OO.WE","403","AT312",48.17144966,14.032089708456,62470
"5063a05f",418,3,"Oberösterreich","Wels Land","AUT.4.17_1",,"AT.OO.WL","418","AT312",48.14232445,13.8755538158081,73777
"a86f1237",502,3,"Salzburg","Hallein","AUT.5.1_1",,"AT.SZ.HA","502","AT323",47.612442015,13.2956680568253,60824
