"id","id_github.mpiktas.covid19lt","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_local","key_nuts","latitude","longitude","population","population_data_source","population_data_source_url"
"aeea376e","Šiaulių r.",3,"Šiauliu","Šiaulių r.","LTU.6.6.2_0",,"LT026",55.9703960418702,23.069209418463,41551,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"ebeeaa0d","Jurbarko r.",3,"Taurages","Jurbarko r.","LTU.7.1_1",,"LT027",55.2220935821534,22.9631408584816,24235,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"171e0d11","Pagėgių",3,"Taurages","Pagėgių","LTU.7.3.1_0",,"LT027",55.3105373382569,22.2319504672043,7123,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"36489f75","Šilalės r.",3,"Taurages","Šilalės r.","LTU.7.2_1",,"LT027",55.5220336914063,22.212392373077,21428,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"fa820ec9","Tauragės r.",3,"Taurages","Tauragės r.","LTU.7.3.2_0",,"LT027",55.3105373382569,22.2319504672043,37322,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"e05a0418","Mažeikių r.",3,"Telšiu","Mažeikių r.","LTU.8.1_1",,"LT028",56.2569236755371,22.2471185405858,50782,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"c6ae6821","Plungės r.",3,"Telšiu","Plungės r.","LTU.8.2.1_0",,"LT028",55.8718795776368,21.884337096267,32627,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"d1dea381","Rietavo",3,"Telšiu","Rietavo","LTU.8.2.2_0",,"LT028",55.8718795776368,21.884337096267,7174,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"43f7e5b5","Telšių r.",3,"Telšiu","Telšių r.","LTU.8.3_1",,"LT028",55.9094486236573,22.4230328539158,38759,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"ee06e07e","Anykščių r.",3,"Utenos","Anykščių r.","LTU.9.1_1",,"LT029",55.542688369751,25.0501500490537,22623,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"867980c8","Ignalinos r.",3,"Utenos","Ignalinos r.","LTU.9.2.1_0",,"LT029",55.4180908203125,26.3186345603016,14125,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"393f0e81","Molėtų r.",3,"Utenos","Molėtų r.","LTU.9.3_1",,"LT029",55.23508644104,25.4367030038039,16873,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"21325211","Utenos r.",3,"Utenos","Utenos r.","LTU.9.4_1",,"LT029",55.5109558105469,25.7021273017117,37073,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"e41fc84b","Visagino m.",3,"Utenos","Visagino m.","LTU.9.2.2_0",,"LT029",55.4180908203125,26.3186345603016,18121,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"7868d128","Zarasų r.",3,"Utenos","Zarasų r.","LTU.9.5_1",,"LT029",55.7262382507325,26.0421798499548,14635,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"1e1a2ebe","Elektrėnų",3,"Vilniaus","Elektrėnų","LTU.10.4.1_0",,"LT011",54.6469535827637,24.765235750991,24103,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"d93ab34b","Šalčininkų r.",3,"Vilniaus","Šalčininkų r.","LTU.10.1_1",,"LT011",54.3291015625001,25.2484055396534,30264,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"30ebe0eb","Širvintų r.",3,"Vilniaus","Širvintų r.","LTU.10.2_1",,"LT011",55.0247879028321,24.8854430339982,14907,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"b3db3c52","Švenčionių r.",3,"Vilniaus","Švenčionių r.","LTU.10.3_1",,"LT011",55.0739727020264,26.0260447100229,22495,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"82c82f78","Trakų r.",3,"Vilniaus","Trakų r.","LTU.10.4.2_0",,"LT011",54.6469535827637,24.765235750991,33204,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"8d64c24e","Ukmergės r.",3,"Vilniaus","Ukmergės r.","LTU.10.5_1",,"LT011",55.3102149963379,24.7392858421961,33049,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"ffd5e0c3","Vilniaus m.",3,"Vilniaus","Vilniaus m.","LTU.10.6.1_0",,"LT011",54.7679042816163,25.3672938184536,569729,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
"328fee5d","Vilniaus r.",3,"Vilniaus","Vilniaus r.","LTU.10.6.2_0",,"LT011",54.7679042816163,25.3672938184536,102008,"Vaidotas Zemlys-Balevicius (2020)","https://github.com/mpiktas/covid19lt"
