"id","id_covid19au_git","id_jhucsse_git","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","latitude","longitude","population"
,,,,,,,,,,,"-",,,
"f42f23e3","Australian Capital Territory","Australian Capital Territory",2,"Australian Capital Territory",,"Australian Capital Territory","AUS.2_1","Australian Capital Territory","AU.AC","AUACT","8",-35.4735,149.0124,428060
"5c4dd6e0","New South Wales","New South Wales",2,"New South Wales",,"New South Wales","AUS.5_1","New South Wales","AU.NS","AUNSW","1",-33.8688,151.2093,8117976
"a079fdb2","Northern Territory","Northern Territory",2,"Northern Territory",,"Northern Territory","AUS.6_1","Northern Territory","AU.NT","AUNT","7",-12.4634,130.8456,245562
"36068882","Queensland","Queensland",2,"Queensland",,"Queensland","AUS.7_1","Queensland","AU.QL","AUQLD","3",-28.0167,153.4,5115451
"165128d0","South Australia","South Australia",2,"South Australia",,"South Australia","AUS.8_1","South Australia","AU.SA","AUSA","4",-34.9285,138.6007,1756494
"86525f8e","Tasmania","Tasmania",2,"Tasmania",,"Tasmania","AUS.9_1","Tasmania","AU.TS","AUTAS","6",-41.4545,145.9707,535500
"6c5dccdb","Victoria","Victoria",2,"Victoria",,"Victoria","AUS.10_1","Victoria","AU.VI","AUVIC","2",-37.8136,144.9631,6629870
"1f999f12","Western Australia","Western Australia",2,"Western Australia",,"Western Australia","AUS.11_1","Western Australia","AU.WA","AUWA","5",-31.9505,115.8605,2630557
