"id","id_nytimes_git","id_oxcgrt_git","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_local","latitude","longitude","population"
,,,,,,,"-",,,
"4ac1abf8",78010,"US_VI",2,"St. Croix",,"VIR.1_1","78010",17.728889465,-64.75861359,50601
"61ecf83b",78020,"US_VI",2,"St. John",,"VIR.2_1","78020",18.33555603,-64.755138395,4170
"78f7c97a",78030,"US_VI",2,"St. Thomas",,"VIR.3_1","78030",18.342499735,-64.91847229,51634
