"id","id_github.minciencia.datoscovid19","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_gadm","key_google_mobility","key_jhu_csse","key_local","latitude","longitude","population"
"e07e6244","9116",3,"Araucania","Saavedra","CHL.3.1.14_1",,"CLAR26","09116",-38.8302783966065,-73.2750946680704,12793
"6701c6a6","9101",3,"Araucania","Temuco","CHL.3.1.15.1_0",,"CLAR27","09101",-38.67,-72.67,302931
"977952d2","9117",3,"Araucania","Teodoro Schmidt","CHL.3.1.16_1",,"CLAR28","09117",-39.0405540466308,-73.0590663924947,15786
"07c64f43","9118",3,"Araucania","Tolten","CHL.3.1.17_1",,"CLAR29","09118",-39.2520351409912,-73.0315486161087,10055
"0b5b7928","9210",3,"Araucania","Traiguen","CHL.3.2.10_1",,"CLAR30","09210",-38.1799144744873,-72.5866499954993,19314
"7c5c49be","9211",3,"Araucania","Victoria","CHL.3.2.11_1",,"CLAR31","09211",-38.2273159027099,-72.1123425802069,35467
"70c17fd5","9119",3,"Araucania","Vilcun","CHL.3.1.18_1",,"CLAR32","09119",-38.7052040100098,-71.958922446472,30766
"223094b2","9120",3,"Araucania","Villarrica","CHL.3.1.19_1",,"CLAR33","09120",-39.3992900848389,-72.199223615772,59103
"d099bce9","15101",3,"Arica y Parinacota","Arica","CHL.4.1.1_1",,"CLAP01","15101",-18.4331941604614,-69.9921818693995,247552
"4990ed53","15102",3,"Arica y Parinacota","Camarones","CHL.4.1.2_1",,"CLAP02","15102",-18.8605194091797,-69.9917420632379,1233
"4bd6530a","15202",3,"Arica y Parinacota","General Lagos","CHL.4.2.1_1",,"CLAP04","15202",-17.7710962295532,-69.5664388284536,810
"d2df02b0","15201",3,"Arica y Parinacota","Putre","CHL.4.2.2_1",,"CLAP05","15201",-18.4555501937866,-69.3502134552111,2515
"9231a316","3302",3,"Atacama","Alto del Carmen","CHL.5.3.1_1",,"CLAT01","03302",-29.1870937347412,-70.2278004548724,5729
"91b57778","3102",3,"Atacama","Caldera","CHL.5.2.1_1",,"CLAT02","03102",-27.3580551147461,-70.76400999115,19426
"0afa989b","3201",3,"Atacama","Chanaral","CHL.5.1.1_1",,"CLAT03","03201",-26.320553779602,-70.3773567464005,13164
"08bc26c2","3101",3,"Atacama","Copiapo","CHL.5.2.2_1",,"CLAT04","03101",-27.4558706283569,-70.0844906335629,171766
