"id","country","state","city","lat","lng","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Dickenson, Virginia, US","US","Virginia","Dickenson",37.12560977,-82.35124171,14318,NA,NA,NA,NA,NA,NA
"Dickey, North Dakota, US","US","North Dakota","Dickey",46.11017712,-98.5049008,4872,NA,NA,NA,NA,NA,NA
"Dickinson, Iowa, US","US","Iowa","Dickinson",43.37787725,-95.1510206,17258,NA,NA,NA,NA,NA,NA
"Dickinson, Kansas, US","US","Kansas","Dickinson",38.86600962,-97.15532383,18466,NA,NA,NA,NA,NA,NA
"Dickinson, Michigan, US","US","Michigan","Dickinson",46.00999672,-87.86961634,25239,NA,NA,NA,NA,NA,NA
"Dickson, Tennessee, US","US","Tennessee","Dickson",36.14669837,-87.35891709,53948,NA,NA,NA,NA,NA,NA
"Dillingham, Alaska, US","US","Alaska","Dillingham",59.79603738,-158.2381942,4916,NA,NA,NA,NA,NA,NA
"Dillon, South Carolina, US","US","South Carolina","Dillon",34.39007791,-79.37741872,30479,NA,NA,NA,NA,NA,NA
"Dimmit, Texas, US","US","Texas","Dimmit",28.42270064,-99.75645095,10124,NA,NA,NA,NA,NA,NA
"Dinwiddie, Virginia, US","US","Virginia","Dinwiddie",37.07544585,-77.63451754,28544,NA,NA,NA,NA,NA,NA
"District of Columbia, District of Columbia, US","US","District of Columbia","District of Columbia",38.90417773,-77.01655992,705749,NA,NA,NA,NA,NA,NA
"Divide, North Dakota, US","US","North Dakota","Divide",48.8149387,-103.4873611,2264,NA,NA,NA,NA,NA,NA
"Dixie, Florida, US","US","Florida","Dixie",29.60631086,-83.15724673,16826,NA,NA,NA,NA,NA,NA
"Dixon, Nebraska, US","US","Nebraska","Dixon",42.49188363,-96.86782408,5636,NA,NA,NA,NA,NA,NA
"Doddridge, West Virginia, US","US","West Virginia","Doddridge",39.27057157,-80.70671527,8448,NA,NA,NA,NA,NA,NA
"Dodge, Georgia, US","US","Georgia","Dodge",32.17265114,-83.16948926,20605,NA,NA,NA,NA,NA,NA
"Dodge, Minnesota, US","US","Minnesota","Dodge",44.02238415,-92.86244324,20934,NA,NA,NA,NA,NA,NA
"Dodge, Nebraska, US","US","Nebraska","Dodge",41.58071748,-96.65598179,36565,NA,NA,NA,NA,NA,NA
"Dodge, Wisconsin, US","US","Wisconsin","Dodge",43.41576662,-88.70928178,87839,NA,NA,NA,NA,NA,NA
"Dolores, Colorado, US","US","Colorado","Dolores",37.75208676,-108.5211585,2055,NA,NA,NA,NA,NA,NA
"Dona Ana, New Mexico, US","US","New Mexico","Dona Ana",32.35275771,-106.8329387,218195,NA,NA,NA,NA,NA,NA
"Doniphan, Kansas, US","US","Kansas","Doniphan",39.79067154,-95.14056866,7600,NA,NA,NA,NA,NA,NA
"Donley, Texas, US","US","Texas","Donley",34.96517499,-100.8140093,3278,NA,NA,NA,NA,NA,NA
"Dooly, Georgia, US","US","Georgia","Dooly",32.15630737,-83.79746561,13390,NA,NA,NA,NA,NA,NA
"Door, Wisconsin, US","US","Wisconsin","Door",44.95856458,-87.30002707,27668,NA,NA,NA,NA,NA,NA
"Dorchester, Maryland, US","US","Maryland","Dorchester",38.45413522,-76.02752426,31929,NA,NA,NA,NA,NA,NA
"Dorchester, South Carolina, US","US","South Carolina","Dorchester",33.0794369,-80.40502652,162809,NA,NA,NA,NA,NA,NA
"Dougherty, Georgia, US","US","Georgia","Dougherty",31.53328528,-84.21722377,87956,NA,NA,NA,NA,NA,NA
"Douglas, Colorado, US","US","Colorado","Douglas",39.33133796,-104.930001,351154,NA,NA,NA,NA,NA,NA
"Douglas, Georgia, US","US","Georgia","Douglas",33.70291126,-84.77026156,146343,NA,NA,NA,NA,NA,NA
"Douglas, Illinois, US","US","Illinois","Douglas",39.76768052,-88.21854195,19465,NA,NA,NA,NA,NA,NA
"Douglas, Kansas, US","US","Kansas","Douglas",38.88503636,-95.2925121,122259,NA,NA,NA,NA,NA,NA
"Douglas, Minnesota, US","US","Minnesota","Douglas",45.93348491,-95.45335469,38141,NA,NA,NA,NA,NA,NA
"Douglas, Missouri, US","US","Missouri","Douglas",36.9325593,-92.49905109,13185,NA,NA,NA,NA,NA,NA
"Douglas, Nebraska, US","US","Nebraska","Douglas",41.29518299,-96.15085305,571327,NA,NA,NA,NA,NA,NA
"Douglas, Nevada, US","US","Nevada","Douglas",38.912862,-119.6171333,48905,NA,NA,NA,NA,NA,NA
"Douglas, Oregon, US","US","Oregon","Douglas",43.27941273,-123.167291,110980,NA,NA,NA,NA,NA,NA
"Douglas, South Dakota, US","US","South Dakota","Douglas",43.38520741,-98.36978007,2921,NA,NA,NA,NA,NA,NA
"Douglas, Washington, US","US","Washington","Douglas",47.7361335,-119.692937,43429,NA,NA,NA,NA,NA,NA
"Douglas, Wisconsin, US","US","Wisconsin","Douglas",46.43222285,-91.91595768,43150,NA,NA,NA,NA,NA,NA
"Drew, Arkansas, US","US","Arkansas","Drew",33.59035001,-91.71777921,18219,NA,NA,NA,NA,NA,NA
"Dubois, Indiana, US","US","Indiana","Dubois",38.36597551,-86.8792417,42736,NA,NA,NA,NA,NA,NA
"Dubuque, Iowa, US","US","Iowa","Dubuque",42.46815349,-90.88181925,97311,NA,NA,NA,NA,NA,NA
