"id","id_isciii.es","administrative_area_level","administrative_area_level_2","administrative_area_level_3","key_apple_mobility","key_gadm","key_google_mobility","key_hasc","key_jhu_csse","key_local","key_nuts","latitude","longitude","population","population_data_source_url","population_data_source"
"8bd8459f","AL",3,"Andalucía","Almería",,"ESP.1.1_1","ChIJZQoW955UZQ0RcMl1pXjSAwM","ES.AN.AM",,"04","ES611",37.298334125,-2.18880902485867,688736,"http://www.statoids.com/yes.html","Statoids (2011)"
"c75f5ba0","CA",3,"Andalucía","Cádiz",,"ESP.1.2_1","ChIJaxjPWk6qDQ0R4MmfjP1jBAM","ES.AN.CD",,"11","ES612",36.526109695,-5.9006728027725,1244732,"http://www.statoids.com/yes.html","Statoids (2011)"
"20e776a7","CO",3,"Andalucía","Córdoba",,"ESP.1.3_1","ChIJm30-GKPebA0REMp1pXjSAwM","ES.AN.CO",,"14","ES613",37.955841065,-4.84669929091188,802575,"http://www.statoids.com/yes.html","Statoids (2011)"
"278ddf7a","GR",3,"Andalucía","Granada",,"ESP.1.4_1","ChIJuexUhnolbg0RUMp1pXjSAwM","ES.AN.GD",,"18","ES614",37.389226915,-3.23894225520062,922100,"http://www.statoids.com/yes.html","Statoids (2011)"
"3b66ee57","H",3,"Andalucía","Huelva",,"ESP.1.5_1","ChIJiYiy9MW-EQ0RgMqfjP1jBAM","ES.AN.HL",,"21","ES615",37.50259018,-6.92319106363443,519895,"http://www.statoids.com/yes.html","Statoids (2011)"
"d5688f7b","J",3,"Andalucía","Jaén",,"ESP.1.6_1","ChIJxaS9-r71bg0RoMp1pXjSAwM","ES.AN.JA",,"23","ES616",37.95560074,-3.49285914866068,667484,"http://www.statoids.com/yes.html","Statoids (2011)"
"59dc762e","MA",3,"Andalucía","Málaga",,"ESP.1.7_1","ChIJUyii_DXqcg0RAMt1pXjSAwM","ES.AN.MG",,"29","ES617",36.79245758,-4.54506053424198,1594808,"http://www.statoids.com/yes.html","Statoids (2011)"
"8af08de8","SE",3,"Andalucía","Sevilla","Seville, Andalusia","ESP.1.8_1","ChIJadFr4dryEg0RwMufjP1jBAM","ES.AN.SV",,"41","ES618",37.518878935,-5.65046422868604,1930941,"http://www.statoids.com/yes.html","Statoids (2011)"
"3e715616","HU",3,"Aragón","Huesca",,"ESP.2.1_1","ChIJtwOaTjZxWA0RkMrNCGWMAQM","ES.AR.HS",,"22","ES241",42.13632965,-0.0289939936755321,225962,"http://www.statoids.com/yes.html","Statoids (2011)"
"c5b11b2f","TE",3,"Aragón","Teruel",,"ESP.2.2_1","ChIJnUpflihYXg0R8MvNCGWMAQM","ES.AR.TE",,"44","ES242",40.601350785,-0.922689148281921,143162,"http://www.statoids.com/yes.html","Statoids (2011)"
"c8df9f1f","Z",3,"Aragón","Zaragoza",,"ESP.2.3_1","ChIJe4uZsFkLWQ0RUMzNCGWMAQM","ES.AR.ZG",,"50","ES243",41.839660645,-1.1697710126096,975385,"http://www.statoids.com/yes.html","Statoids (2011)"
"4d3dff88","GC",3,"Canarias","Las Palmas",,"ESP.14.1_1","ChIJvy1D_6YfRwwRYMtLvvNAAwM","ES.CN.LP",,"35","ES705",27.958055495,-15.605971815,1087225,"http://www.statoids.com/yes.html","Statoids (2011)"
"5cb84a95","TF",3,"Canarias","Santa Cruz de Tenerife",,"ESP.14.2_1","ChIJLc1e8Zj5agwRkMtLvvNAAwM","ES.CN.SC",,"38","ES709",28.293611525,-16.621944425,995429,"http://www.statoids.com/yes.html","Statoids (2011)"
"b10327bb","S",3,"Cantabria","Cantabria",,"ESP.3.1_1",,"ES.CB.CN",,"39","ES130",43.136398315,-4.2634701153849,592542,"http://www.statoids.com/yes.html","Statoids (2011)"
"6c606898","AB",3,"Castilla-La Mancha","Albacete",,"ESP.4.1_1","ChIJ0XrEWB18Zg0RUMlLvvNAAwM","ES.CM.AB",,"02","ES421",38.72314644,-1.95495963824726,401580,"http://www.statoids.com/yes.html","Statoids (2011)"
"43e11a7e","CR",3,"Castilla-La Mancha","Ciudad Real",,"ESP.4.2_1","ChIJ6_wEDsndaw0RAMpLvvNAAwM","ES.CM.CR",,"13","ES422",38.95852089,-3.88316941255103,526628,"http://www.statoids.com/yes.html","Statoids (2011)"
